iter	Passed	Remaining
0	14	14614
1	24	12319
2	31	10618
3	39	9880
4	47	9428
5	55	9141
6	62	8880
7	70	8733
8	78	8594
9	85	8486
10	93	8381
11	101	8331
12	108	8246
13	116	8187
14	123	8127
15	131	8062
16	139	8094
17	147	8047
18	154	7997
19	162	7970
20	171	8004
21	184	8220
22	195	8321
23	204	8318
24	215	8389
25	224	8399
26	233	8417
27	242	8412
28	250	8400
29	259	8393
30	268	8403
31	277	8395
32	286	8397
33	294	8378
34	304	8406
35	314	8429
36	322	8386
37	329	8349
38	337	8310
39	345	8294
40	354	8297
41	362	8260
42	369	8228
43	377	8198
44	385	8177
45	393	8151
46	400	8115
47	408	8096
48	415	8072
49	425	8079
50	434	8084
51	443	8086
52	452	8093
53	462	8099
54	470	8091
55	480	8107
56	490	8109
57	499	8113
58	508	8103
59	517	8110
60	527	8126
61	536	8121
62	544	8095
63	552	8075
64	559	8053
65	567	8031
66	574	8002
67	583	8004
68	591	7983
69	599	7958
70	606	7941
71	614	7923
72	623	7914
73	632	7918
74	644	7951
75	654	7961
76	665	7975
77	673	7964
78	683	7965
79	693	7972
80	702	7973
81	728	8156
82	984	10875
83	999	10898
84	1015	10930
85	1026	10912
86	1048	11002
87	1069	11080
88	1078	11042
89	1091	11032
90	1104	11031
91	1115	11013
92	1125	10975
93	1135	10943
94	1143	10890
95	1151	10842
96	1158	10787
97	1166	10737
98	1174	10690
99	1182	10642
100	1191	10607
101	1201	10576
102	1210	10543
103	1220	10511
104	1229	10478
105	1238	10446
106	1247	10409
107	1256	10381
108	1266	10351
109	1274	10315
110	1283	10276
111	1291	10235
112	1298	10195
113	1306	10154
114	1314	10114
115	1322	10078
116	1330	10038
117	1337	9998
118	1345	9964
119	1353	9927
120	1360	9884
121	1368	9848
122	1376	9811
123	1383	9772
124	1390	9736
125	1400	9711
126	1408	9684
127	1417	9659
128	1426	9631
129	1436	9610
130	1446	9592
131	1455	9568
132	1464	9545
133	1474	9530
134	1483	9507
135	1492	9480
136	1499	9448
137	1507	9413
138	1514	9381
139	1525	9372
140	1538	9372
141	1549	9359
142	1557	9333
143	1564	9301
144	1572	9275
145	1580	9244
146	1588	9215
147	1595	9186
148	1605	9167
149	1613	9145
150	1623	9126
151	1632	9107
152	1641	9089
153	1650	9068
154	1660	9051
155	1669	9034
156	1678	9013
157	1687	8995
158	1695	8969
159	1703	8944
160	1711	8920
161	1719	8895
162	1727	8872
163	1735	8848
164	1743	8822
165	1750	8795
166	1758	8773
167	1767	8750
168	1774	8727
169	1782	8704
170	1789	8677
171	1796	8650
172	1804	8628
173	1813	8610
174	1822	8592
175	1831	8575
176	1840	8558
177	1850	8544
178	1859	8527
179	1868	8512
180	1877	8496
181	1887	8482
182	1897	8471
183	1905	8451
184	1913	8431
185	1921	8410
186	1929	8387
187	1937	8367
188	1945	8347
189	1952	8322
190	1959	8298
191	1966	8276
192	1974	8256
193	1982	8237
194	1991	8220
195	1998	8196
196	2006	8177
197	2015	8161
198	2024	8150
199	2034	8139
200	2044	8127
201	2053	8113
202	2063	8099
203	2072	8085
204	2080	8068
205	2090	8056
206	2099	8043
207	2110	8036
208	2119	8020
209	2126	8000
210	2134	7981
211	2141	7960
212	2149	7943
213	2157	7924
214	2164	7904
215	2172	7885
216	2180	7867
217	2187	7848
218	2195	7829
219	2204	7814
220	2213	7802
221	2222	7788
222	2232	7777
223	2240	7763
224	2251	7754
225	2261	7745
226	2271	7733
227	2279	7719
228	2288	7705
229	2299	7698
230	2310	7690
231	2317	7671
232	2324	7652
233	2333	7637
234	2340	7620
235	2349	7605
236	2356	7587
237	2364	7571
238	2372	7555
239	2381	7540
240	2388	7521
241	2395	7504
242	2403	7487
243	2411	7472
244	2420	7458
245	2429	7447
246	2438	7434
247	2447	7422
248	2457	7411
249	2466	7398
250	2474	7385
251	2484	7373
252	2493	7361
253	2504	7356
254	2515	7347
255	2527	7345
256	2535	7329
257	2543	7315
258	2551	7299
259	2558	7282
260	2566	7266
261	2573	7249
262	2581	7233
263	2589	7219
264	2597	7203
265	2604	7187
266	2612	7171
267	2620	7156
268	2629	7144
269	2639	7135
270	2649	7126
271	2659	7117
272	2668	7106
273	2677	7093
274	2686	7083
275	2696	7072
276	2705	7060
277	2714	7050
278	2722	7034
279	2729	7018
280	2737	7003
281	2744	6987
282	2753	6974
283	2760	6959
284	2768	6944
285	2775	6929
286	2783	6914
287	2792	6903
288	2801	6892
